"id","user_id","issue_id","role_in_chat","message","attachments","created_at","updated_at","session_id"
"25","3","78","USER","water heater repair didn't work","[]","2026-02-19 04:25:13.703505+00","2026-03-10 09:15:06.327997+00","20"
"26",,"78","AI","⚠️ Complaint filed for Issue #78. Reopened.","[]","2026-02-19 04:25:16.703505+00","2026-03-10 09:15:06.327997+00","20"
"27",,"84","SYSTEM","⚠️ ESCALATION: Issue #84 escalated to manager.","[]","2026-02-20 09:25:13.703505+00","2026-03-10 09:15:06.327997+00","16"
"28",,"85","SYSTEM","⚠️ ESCALATION: Issue #85 escalated to manager.","[]","2026-02-20 08:25:13.703505+00","2026-03-10 09:15:06.327997+00","18"
"29",,"86","SYSTEM","⚠️ ESCALATION: Issue #86 escalated to manager.","[]","2026-02-20 07:25:13.703505+00","2026-03-10 09:15:06.327997+00","15"
"30",,"87","SYSTEM","⚠️ ESCALATION: Issue #87 escalated to manager.","[]","2026-02-20 06:25:13.703505+00","2026-03-10 09:15:06.327997+00","2"
"31",,"88","SYSTEM","⚠️ ESCALATION: Issue #88 escalated to manager.","[]","2026-02-20 05:25:13.703505+00","2026-03-10 09:15:06.327997+00","5"
"32",,"89","SYSTEM","⚠️ ESCALATION: Issue #89 escalated to manager.","[]","2026-02-20 04:25:13.703505+00","2026-03-10 09:15:06.327997+00","1"
"33",,"90","SYSTEM","⚠️ ESCALATION: Issue #90 escalated to manager.","[]","2026-02-20 03:25:13.703505+00","2026-03-10 09:15:06.327997+00","10"
"34","1",,"USER","what are my open issues?","[]","2026-02-20 07:25:13.703505+00","2026-02-20 07:25:13.703505+00",
"35",,,"AI","📋 You have 8 open issues.","[]","2026-02-20 07:25:15.703505+00","2026-02-20 07:25:15.703505+00",
"36","4",,"USER","show escalated issues","[]","2026-02-20 07:25:13.703505+00","2026-02-20 07:25:13.703505+00",
"37",,,"AI","⚠️ 7 escalated issues.","[]","2026-02-20 07:25:15.703505+00","2026-02-20 07:25:15.703505+00",
"38","6",,"USER","what is my assignment?","[]","2026-02-20 07:25:13.703505+00","2026-02-20 07:25:13.703505+00",
"39",,,"AI","👷 4 active assignments.","[]","2026-02-20 07:25:15.703505+00","2026-02-20 07:25:15.703505+00",
"40","1",,"USER","Pipe Leakage in Main Halle","[]","2026-02-20 12:57:45.10009+00","2026-02-20 12:57:45.10009+00",
"41",,,"AI","❌ Something went wrong: cannot unpack non-iterable NoneType object. Please try again.","[]","2026-02-20 12:57:45.3968+00","2026-02-20 12:57:45.3968+00",
"42","1",,"USER","Pipe Leakage in Main Halle","[]","2026-02-20 12:58:08.508356+00","2026-02-20 12:58:08.508356+00",
"43",,,"AI","❌ Something went wrong: cannot unpack non-iterable NoneType object. Please try again.","[]","2026-02-20 12:58:08.742562+00","2026-02-20 12:58:08.742562+00",
"44","1",,"USER","Pipe Leakage in Main Halle","[]","2026-02-20 13:01:04.285704+00","2026-02-20 13:01:04.285704+00",
"45",,,"AI","❌ Couldn't find site 'Main Halle'. Available: Vepery Site, Taramani Tech Park, OMR Tech Hub, Adyar Research Lab, Nungambakkam Office, Anna Nagar Complex, Thiruvanmiyur Site","[]","2026-02-20 13:01:04.541244+00","2026-02-20 13:01:04.541244+00",
"46","1",,"USER","what works have done today","[]","2026-02-20 13:02:36.596255+00","2026-02-20 13:02:36.596255+00",
"47",,,"AI","📋 31 issue(s):

🟡 #92 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🟡 #91 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🔴 #55 — Fiber Optic Cable Damage [high] (OPEN)
🔴 #58 — Coolant Pipe Leak Lab [high] (OPEN)
🔴 #59 — Reception Desk Repair [low] (OPEN)
🔴 #60 — Exterior Painting Needed [low] (OPEN)
🔴 #61 — Emergency Generator Test Fail [high] (OPEN)
🔴 #66 — Cafeteria Sink Clogged [medium] (OPEN)
🟡 #41 — Pantry Microwave Repair [low] (ASSIGNED)
🟡 #46 — Overhead Tank Cleaning [medium] (ASSIGNED)
🟡 #50 — CCTV Camera Realignment [medium] (ASSIGNED)
🔵 #26 — Ceiling Water Stain Repair [medium] (IN_PROGRESS)
🔵 #30 — WiFi Access Point Replacement [medium] (IN_PROGRESS)
🔵 #35 — Server Room AC Backup Install [high] (IN_PROGRESS)
🔵 #38 — Transformer Oil Top-up [high] (IN_PROGRESS)","[]","2026-02-20 13:02:36.845491+00","2026-02-20 13:02:36.845491+00",
"48","1",,"USER","what all supervisor id's","[]","2026-02-20 13:05:16.284924+00","2026-02-20 13:05:16.284924+00",
"49",,,"AI","📋 31 issue(s):

🟡 #92 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🟡 #91 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🔴 #55 — Fiber Optic Cable Damage [high] (OPEN)
🔴 #58 — Coolant Pipe Leak Lab [high] (OPEN)
🔴 #59 — Reception Desk Repair [low] (OPEN)
🔴 #60 — Exterior Painting Needed [low] (OPEN)
🔴 #61 — Emergency Generator Test Fail [high] (OPEN)
🔴 #66 — Cafeteria Sink Clogged [medium] (OPEN)
🟡 #41 — Pantry Microwave Repair [low] (ASSIGNED)
🟡 #46 — Overhead Tank Cleaning [medium] (ASSIGNED)
🟡 #50 — CCTV Camera Realignment [medium] (ASSIGNED)
🔵 #26 — Ceiling Water Stain Repair [medium] (IN_PROGRESS)
🔵 #30 — WiFi Access Point Replacement [medium] (IN_PROGRESS)
🔵 #35 — Server Room AC Backup Install [high] (IN_PROGRESS)
🔵 #38 — Transformer Oil Top-up [high] (IN_PROGRESS)","[]","2026-02-20 13:05:16.606262+00","2026-02-20 13:05:16.606262+00",
"50","1",,"USER","what all supervisor id's","[]","2026-02-20 13:05:28.763868+00","2026-02-20 13:05:28.763868+00",
"51",,,"AI","📋 31 issue(s):

🟡 #92 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🟡 #91 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🔴 #55 — Fiber Optic Cable Damage [high] (OPEN)
🔴 #58 — Coolant Pipe Leak Lab [high] (OPEN)
🔴 #59 — Reception Desk Repair [low] (OPEN)
🔴 #60 — Exterior Painting Needed [low] (OPEN)
🔴 #61 — Emergency Generator Test Fail [high] (OPEN)
🔴 #66 — Cafeteria Sink Clogged [medium] (OPEN)
🟡 #41 — Pantry Microwave Repair [low] (ASSIGNED)
🟡 #46 — Overhead Tank Cleaning [medium] (ASSIGNED)
🟡 #50 — CCTV Camera Realignment [medium] (ASSIGNED)
🔵 #26 — Ceiling Water Stain Repair [medium] (IN_PROGRESS)
🔵 #30 — WiFi Access Point Replacement [medium] (IN_PROGRESS)
🔵 #35 — Server Room AC Backup Install [high] (IN_PROGRESS)
🔵 #38 — Transformer Oil Top-up [high] (IN_PROGRESS)","[]","2026-02-20 13:05:29.087149+00","2026-02-20 13:05:29.087149+00",
"52","1",,"USER","give superviosr id's","[]","2026-02-20 13:05:46.659139+00","2026-02-20 13:05:46.659139+00",
"53",,,"AI","📋 31 issue(s):

🟡 #92 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🟡 #91 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🔴 #55 — Fiber Optic Cable Damage [high] (OPEN)
🔴 #58 — Coolant Pipe Leak Lab [high] (OPEN)
🔴 #59 — Reception Desk Repair [low] (OPEN)
🔴 #60 — Exterior Painting Needed [low] (OPEN)
🔴 #61 — Emergency Generator Test Fail [high] (OPEN)
🔴 #66 — Cafeteria Sink Clogged [medium] (OPEN)
🟡 #41 — Pantry Microwave Repair [low] (ASSIGNED)
🟡 #46 — Overhead Tank Cleaning [medium] (ASSIGNED)
🟡 #50 — CCTV Camera Realignment [medium] (ASSIGNED)
🔵 #26 — Ceiling Water Stain Repair [medium] (IN_PROGRESS)
🔵 #30 — WiFi Access Point Replacement [medium] (IN_PROGRESS)
🔵 #35 — Server Room AC Backup Install [high] (IN_PROGRESS)
🔵 #38 — Transformer Oil Top-up [high] (IN_PROGRESS)","[]","2026-02-20 13:05:46.988251+00","2026-02-20 13:05:46.988251+00",
"54","1",,"USER","whoru","[]","2026-02-20 13:06:21.035851+00","2026-02-20 13:06:21.035851+00",
"55",,,"AI","Hello Priya Sharma, I'm a facility management assistant chatbot 🙋. I'm here to help you with any issues or questions you may have regarding the facilities. You can report issues, check the status of ongoing work, view your assignments, or file a complaint. How can I assist you today?","[]","2026-02-20 13:06:21.357134+00","2026-02-20 13:06:21.357134+00",
"56","1",,"USER","i need to know all the superviosr namesand their contact details","[]","2026-02-20 13:06:52.346136+00","2026-02-20 13:06:52.346136+00",
"57",,,"AI","Hello Priya Sharma, I'm happy to help you. However, I need to clarify that I don't have direct access to real-time contact information. But I can guide you on how to obtain the list of supervisor names and their contact details.

You can try the following options:

1. Check the company's internal directory or employee database.
2. Visit the facility management website or portal to see if they have a list of supervisors and their contact information.
3. Reach out to the HR department or administrative office to request the list of supervisors and their contact details.

If you're still having trouble finding the information, you can also try filing a request through our system, and I'll do my best to assist you further. 😊","[]","2026-02-20 13:06:52.700997+00","2026-02-20 13:06:52.700997+00",
"58","1",,"USER","supervisor id 1 phone number","[]","2026-02-20 13:07:47.197316+00","2026-02-20 13:07:47.197316+00",
"59",,,"AI","Hello Priya Sharma, I'd be happy to help you with that. 📞 Unfortunately, I don't have direct access to real-time contact information. However, I can guide you on how to find the supervisor's phone number. 

You can try checking the facility management portal or the company directory for the supervisor's contact details. If you're unable to find the information, you can also report an issue or submit a request, and I'll do my best to assist you further. Would you like to proceed with reporting an issue or checking the status of an existing request?","[]","2026-02-20 13:07:47.516477+00","2026-02-20 13:07:47.516477+00",
"60","1",,"USER","phone number of supervisor id 1","[]","2026-02-20 13:08:23.658785+00","2026-02-20 13:08:23.658785+00",
"61",,,"AI","📋 31 issue(s):

🟡 #92 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🟡 #91 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🔴 #55 — Fiber Optic Cable Damage [high] (OPEN)
🔴 #58 — Coolant Pipe Leak Lab [high] (OPEN)
🔴 #59 — Reception Desk Repair [low] (OPEN)
🔴 #60 — Exterior Painting Needed [low] (OPEN)
🔴 #61 — Emergency Generator Test Fail [high] (OPEN)
🔴 #66 — Cafeteria Sink Clogged [medium] (OPEN)
🟡 #41 — Pantry Microwave Repair [low] (ASSIGNED)
🟡 #46 — Overhead Tank Cleaning [medium] (ASSIGNED)
🟡 #50 — CCTV Camera Realignment [medium] (ASSIGNED)
🔵 #26 — Ceiling Water Stain Repair [medium] (IN_PROGRESS)
🔵 #30 — WiFi Access Point Replacement [medium] (IN_PROGRESS)
🔵 #35 — Server Room AC Backup Install [high] (IN_PROGRESS)
🔵 #38 — Transformer Oil Top-up [high] (IN_PROGRESS)","[]","2026-02-20 13:08:23.985741+00","2026-02-20 13:08:23.985741+00",
"62","1",,"USER","status of all issues","[]","2026-02-20 13:13:47.103078+00","2026-02-20 13:13:47.103078+00",
"63",,,"AI","📋 31 issue(s):

🟡 #92 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🟡 #91 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🔴 #55 — Fiber Optic Cable Damage [high] (OPEN)
🔴 #58 — Coolant Pipe Leak Lab [high] (OPEN)
🔴 #59 — Reception Desk Repair [low] (OPEN)
🔴 #60 — Exterior Painting Needed [low] (OPEN)
🔴 #61 — Emergency Generator Test Fail [high] (OPEN)
🔴 #66 — Cafeteria Sink Clogged [medium] (OPEN)
🟡 #41 — Pantry Microwave Repair [low] (ASSIGNED)
🟡 #46 — Overhead Tank Cleaning [medium] (ASSIGNED)
🟡 #50 — CCTV Camera Realignment [medium] (ASSIGNED)
🔵 #26 — Ceiling Water Stain Repair [medium] (IN_PROGRESS)
🔵 #30 — WiFi Access Point Replacement [medium] (IN_PROGRESS)
🔵 #35 — Server Room AC Backup Install [high] (IN_PROGRESS)
🔵 #38 — Transformer Oil Top-up [high] (IN_PROGRESS)","[]","2026-02-20 13:13:47.433678+00","2026-02-20 13:13:47.433678+00",
"64","1",,"USER","query_issues of site id 1","[]","2026-02-20 13:14:36.730082+00","2026-02-20 13:14:36.730082+00",
"65",,,"AI","📋 31 issue(s):

🟡 #92 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🟡 #91 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🔴 #55 — Fiber Optic Cable Damage [high] (OPEN)
🔴 #58 — Coolant Pipe Leak Lab [high] (OPEN)
🔴 #59 — Reception Desk Repair [low] (OPEN)
🔴 #60 — Exterior Painting Needed [low] (OPEN)
🔴 #61 — Emergency Generator Test Fail [high] (OPEN)
🔴 #66 — Cafeteria Sink Clogged [medium] (OPEN)
🟡 #41 — Pantry Microwave Repair [low] (ASSIGNED)
🟡 #46 — Overhead Tank Cleaning [medium] (ASSIGNED)
🟡 #50 — CCTV Camera Realignment [medium] (ASSIGNED)
🔵 #26 — Ceiling Water Stain Repair [medium] (IN_PROGRESS)
🔵 #30 — WiFi Access Point Replacement [medium] (IN_PROGRESS)
🔵 #35 — Server Room AC Backup Install [high] (IN_PROGRESS)
🔵 #38 — Transformer Oil Top-up [high] (IN_PROGRESS)","[]","2026-02-20 13:14:36.984772+00","2026-02-20 13:14:36.984772+00",
"66","1",,"USER","query_issues of site id 4","[]","2026-02-20 13:15:06.502169+00","2026-02-20 13:15:06.502169+00",
"67",,,"AI","📋 31 issue(s):

🟡 #92 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🟡 #91 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🔴 #55 — Fiber Optic Cable Damage [high] (OPEN)
🔴 #58 — Coolant Pipe Leak Lab [high] (OPEN)
🔴 #59 — Reception Desk Repair [low] (OPEN)
🔴 #60 — Exterior Painting Needed [low] (OPEN)
🔴 #61 — Emergency Generator Test Fail [high] (OPEN)
🔴 #66 — Cafeteria Sink Clogged [medium] (OPEN)
🟡 #41 — Pantry Microwave Repair [low] (ASSIGNED)
🟡 #46 — Overhead Tank Cleaning [medium] (ASSIGNED)
🟡 #50 — CCTV Camera Realignment [medium] (ASSIGNED)
🔵 #26 — Ceiling Water Stain Repair [medium] (IN_PROGRESS)
🔵 #30 — WiFi Access Point Replacement [medium] (IN_PROGRESS)
🔵 #35 — Server Room AC Backup Install [high] (IN_PROGRESS)
🔵 #38 — Transformer Oil Top-up [high] (IN_PROGRESS)","[]","2026-02-20 13:15:06.753439+00","2026-02-20 13:15:06.753439+00",
"68","1",,"USER","query_issues of site id 4","[]","2026-02-20 13:37:00.925168+00","2026-02-20 13:37:00.925168+00",
"69",,,"AI","❌ Could not fetch data: connection to server at ""localhost"" (::1), port 5432 failed: FATAL:  password authentication failed for user ""postgres""
. Please try rephrasing your question.","[]","2026-02-20 13:37:01.190795+00","2026-02-20 13:37:01.190795+00",
"70","1",,"USER","query_issues of site id 4","[]","2026-02-20 13:37:49.208931+00","2026-02-20 13:37:49.208931+00",
"71",,,"AI","📋 31 issue(s):

🟡 #92 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🟡 #91 — Pipe Leakage in Main Halle [medium] (ASSIGNED)
🔴 #55 — Fiber Optic Cable Damage [high] (OPEN)
🔴 #58 — Coolant Pipe Leak Lab [high] (OPEN)
🔴 #59 — Reception Desk Repair [low] (OPEN)
🔴 #60 — Exterior Painting Needed [low] (OPEN)
🔴 #61 — Emergency Generator Test Fail [high] (OPEN)
🔴 #66 — Cafeteria Sink Clogged [medium] (OPEN)
🟡 #41 — Pantry Microwave Repair [low] (ASSIGNED)
🟡 #46 — Overhead Tank Cleaning [medium] (ASSIGNED)
🟡 #50 — CCTV Camera Realignment [medium] (ASSIGNED)
🔵 #26 — Ceiling Water Stain Repair [medium] (IN_PROGRESS)
🔵 #30 — WiFi Access Point Replacement [medium] (IN_PROGRESS)
🔵 #35 — Server Room AC Backup Install [high] (IN_PROGRESS)
🔵 #38 — Transformer Oil Top-up [high] (IN_PROGRESS)","[]","2026-02-20 13:37:49.487556+00","2026-02-20 13:37:49.487556+00",
"72","1",,"USER","use sql command to get the superviosr 1 details","[]","2026-02-20 13:38:26.554005+00","2026-02-20 13:38:26.554005+00",
"73",,,"AI","To get the Supervisor 1 details, you can use the following SQL command:

```sql
SELECT * 
FROM Employees 
WHERE EmployeeID = (SELECT Supervisor1ID 
                    FROM Employees 
                    WHERE EmployeeName = 'Priya Sharma');
```

Alternatively, if you have a separate table for supervisors, you can use:

```sql
SELECT S.* 
FROM Supervisors S 
JOIN Employees E ON S.SupervisorID = E.Supervisor1ID 
WHERE E.EmployeeName = 'Priya Sharma';
```

Please replace the table and column names with the actual names used in your database. 

If you need help with the exact syntax or have further questions, feel free to ask 📊.","[]","2026-02-20 13:38:26.814377+00","2026-02-20 13:38:26.814377+00",
"74","1",,"USER","use sql command to get the superviosr 1 details","[]","2026-02-20 13:51:32.401865+00","2026-02-20 13:51:32.401865+00",
"75",,,"AI","To get the Supervisor 1 details, you can use the following SQL command:

```sql
SELECT * 
FROM Employees 
WHERE EmployeeID = (SELECT Supervisor1ID 
                    FROM Employees 
                    WHERE EmployeeName = 'Priya Sharma');
```

This command assumes that you have a table named `Employees` with columns `EmployeeID`, `EmployeeName`, and `Supervisor1ID`. 

If you want to get the details of Priya Sharma's supervisor, you would need to replace `'Priya Sharma'` with the actual `EmployeeName` or `EmployeeID` of Priya Sharma.

Alternatively, if you have a separate table for supervisors, the query would be:

```sql
SELECT S.* 
FROM Supervisors S 
JOIN Employees E ON S.SupervisorID = E.Supervisor1ID 
WHERE E.EmployeeName = 'Priya Sharma';
```

Please replace the table and column names according to your actual database schema. 😊","[]","2026-02-20 13:51:32.719155+00","2026-02-20 13:51:32.719155+00",
"76","1",,"USER","use sql command to get the superviosr 1 details","[]","2026-02-20 13:54:31.062659+00","2026-02-20 13:54:31.062659+00",
"77",,,"AI","❌ Something went wrong: connection to server at ""localhost"" (::1), port 5432 failed: FATAL:  password authentication failed for user ""postgres""
. Please try again.","[]","2026-02-20 13:54:31.371797+00","2026-02-20 13:54:31.371797+00",
"78","1",,"USER","use sql command to get the superviosr 1 details","[]","2026-02-20 13:55:09.681217+00","2026-02-20 13:55:09.681217+00",
"79",,,"AI","❌ Something went wrong: connection to server at ""localhost"" (::1), port 5432 failed: FATAL:  password authentication failed for user ""postgres""
. Please try again.","[]","2026-02-20 13:55:09.97774+00","2026-02-20 13:55:09.97774+00",
"80","1",,"USER","issue in a vepary siote","[]","2026-02-20 14:05:13.109581+00","2026-02-20 14:05:13.109581+00",
"81",,,"AI","❌ Something went wrong: cannot access local variable 'result' where it is not associated with a value. Please try again.","[]","2026-02-20 14:05:13.375024+00","2026-02-20 14:05:13.375024+00",
"82","1",,"USER","issue in a vepary siote","[]","2026-02-20 14:07:08.642079+00","2026-02-20 14:07:08.642079+00",
"83","1",,"USER","issue in a vepary siote","[]","2026-02-20 14:08:38.751899+00","2026-02-20 14:08:38.751899+00",
"84","1",,"USER","issue in a vepary siote","[]","2026-02-20 14:13:20.458269+00","2026-02-20 14:13:20.458269+00",
"85","1",,"USER","issue in a vepary siote","[]","2026-02-20 14:17:50.332753+00","2026-02-20 14:17:50.332753+00",
"86",,,"AI","❌ Something went wrong: connection to server at ""localhost"" (::1), port 5432 failed: FATAL:  password authentication failed for user ""postgres""
","[]","2026-02-20 14:17:50.476547+00","2026-02-20 14:17:50.476547+00",
"87","1",,"USER","issue in a vepary siote","[]","2026-02-20 14:20:40.171041+00","2026-02-20 14:20:40.171041+00",
"88",,,"AI","❌ Something went wrong: psycopg2.connect() argument after ** must be a mapping, not str","[]","2026-02-20 14:20:40.190449+00","2026-02-20 14:20:40.190449+00",
"89","1",,"USER","issue in a vepary siote","[]","2026-02-20 14:31:06.527754+00","2026-02-20 14:31:06.527754+00",
"90",,,"AI","❌ Something went wrong: 'str' object has no attribute 'chat'","[]","2026-02-20 14:31:06.564969+00","2026-02-20 14:31:06.564969+00",
"91","1",,"USER","issue in a vepary siote","[]","2026-02-20 14:32:49.840787+00","2026-02-20 14:32:49.840787+00",
"92",,,"AI","❌ Something went wrong: 'str' object has no attribute 'chat'","[]","2026-02-20 14:32:49.862898+00","2026-02-20 14:32:49.862898+00",
"93","1",,"USER","issue in a vepary siote","[]","2026-02-20 14:37:12.614947+00","2026-02-20 14:37:12.614947+00",
"94",,,"AI","❌ Something went wrong: 'str' object has no attribute 'chat'","[]","2026-02-20 14:37:12.634194+00","2026-02-20 14:37:12.634194+00",
"95","1",,"USER","issue in a vepary siote","[]","2026-02-20 14:38:59.448997+00","2026-02-20 14:38:59.448997+00",
"96",,,"AI","No issues found in Vepary site.","[]","2026-02-20 14:39:00.595812+00","2026-02-20 14:39:00.595812+00",
"97","1",,"USER","name of supervisor id 2","[]","2026-02-20 14:39:35.736078+00","2026-02-20 14:39:35.736078+00",
"98",,,"AI","The name of the supervisor with id 2 is Anil Kumar.","[]","2026-02-20 14:39:37.219402+00","2026-02-20 14:39:37.219402+00",
"99","1",,"USER","hi","[]","2026-03-10 09:16:01.588892+00","2026-03-10 09:16:01.588892+00",
"100",,,"AI","👋 Hello! How can I assist you today?
You can ask about issues, sites, supervisors, or create a new issue.","[]","2026-03-10 09:16:01.588892+00","2026-03-10 09:16:01.588892+00","21"
"101","1",,"USER","hi","[]","2026-03-10 09:16:40.307735+00","2026-03-10 09:16:40.307735+00","21"
"102",,,"AI","👋 Hello! How can I assist you today?
You can ask about issues, sites, supervisors, or create a new issue.","[]","2026-03-10 09:16:40.307735+00","2026-03-10 09:16:40.307735+00","21"
"103","1",,"USER","hi","[]","2026-03-10 09:19:30.610298+00","2026-03-10 09:19:30.610298+00",
"104",,,"AI","👋 Hello! How can I assist you today?
You can ask about issues, sites, supervisors, or create a new issue.","[]","2026-03-10 09:19:30.610298+00","2026-03-10 09:19:30.610298+00","22"
"105","1",,"USER","user id","[]","2026-03-10 09:21:41.16711+00","2026-03-10 09:21:41.16711+00","22"
"106",,,"AI","❌ Something went wrong: (psycopg2.OperationalError) connection to server on socket ""@ep-fancy-leaf-a1fqov5g-pooler.ap-southeast-1.aws.neon.tech/.s.PGSQL.5432"" failed: Invalid argument (0x00002726/10022)
	Is the server running locally and accepting connections on that socket?

(Background on this error at: https://sqlalche.me/e/20/e3q8)","[]","2026-03-10 09:21:41.16711+00","2026-03-10 09:21:41.16711+00","22"
"107","1",,"USER","user id 5","[]","2026-03-10 09:22:27.658985+00","2026-03-10 09:22:27.658985+00","22"
"108",,,"AI","❌ Something went wrong: (psycopg2.OperationalError) connection to server on socket ""@ep-fancy-leaf-a1fqov5g-pooler.ap-southeast-1.aws.neon.tech/.s.PGSQL.5432"" failed: Invalid argument (0x00002726/10022)
	Is the server running locally and accepting connections on that socket?

(Background on this error at: https://sqlalche.me/e/20/e3q8)","[]","2026-03-10 09:22:27.658985+00","2026-03-10 09:22:27.658985+00","22"
"109","1",,"USER","user id 5","[]","2026-03-10 09:24:15.231825+00","2026-03-10 09:24:15.231825+00","22"
"110",,,"AI","❌ Something went wrong: (psycopg2.OperationalError) connection to server on socket ""@ep-fancy-leaf-a1fqov5g-pooler.ap-southeast-1.aws.neon.tech/.s.PGSQL.5432"" failed: Invalid argument (0x00002726/10022)
	Is the server running locally and accepting connections on that socket?

(Background on this error at: https://sqlalche.me/e/20/e3q8)","[]","2026-03-10 09:24:15.231825+00","2026-03-10 09:24:15.231825+00","22"
"111","1",,"USER","hi","[]","2026-03-10 09:26:57.149215+00","2026-03-10 09:26:57.149215+00","22"
"112",,,"AI","👋 Hello! How can I assist you today?
You can ask about issues, sites, supervisors, or create a new issue.","[]","2026-03-10 09:26:57.149215+00","2026-03-10 09:26:57.149215+00","22"
"113","1",,"USER","user id 5","[]","2026-03-10 09:27:02.593461+00","2026-03-10 09:27:02.593461+00","22"
"114",,,"AI","❌ Something went wrong: greenlet_spawn has not been called; can't call await_only() here. Was IO attempted in an unexpected place? (Background on this error at: https://sqlalche.me/e/20/xd2s)","[]","2026-03-10 09:27:02.593461+00","2026-03-10 09:27:02.593461+00","22"
"115","1",,"USER","user id 5","[]","2026-03-10 09:28:47.637761+00","2026-03-10 09:28:47.637761+00","22"
