"id","site_id","raised_by_supervisor_id","title","description","priority","deadline_at","status","track_status","latitude","longitude","created_at","updated_at"
"19","19","3","Conveyor Belt Alignment","Production conveyor belt misaligned causing jams","HIGH","2026-02-20 10:25:13.703505+00","COMPLETED","resolved","13.05400000","80.23600000","2026-02-10 04:25:13.703505+00","2026-02-21 10:25:13.703505+00"
"20","20","3","Air Compressor Servicing","Routine servicing of industrial air compressor","LOW","2026-02-05 10:25:13.703505+00","COMPLETED","resolved","13.05700000","80.23800000","2026-01-26 03:25:13.703505+00","2026-02-06 10:25:13.703505+00"
"21","3","2","Exhaust Fan Replacement","Kitchen exhaust fan motor burned out","MEDIUM","2026-02-17 10:25:13.703505+00","COMPLETED","resolved","13.06000000","80.24000000","2026-02-07 02:25:13.703505+00","2026-02-18 10:25:13.703505+00"
"22","5","1","Cable Tray Installation","New cable tray needed for network expansion","LOW","2026-02-07 10:25:13.703505+00","COMPLETED","resolved","13.06300000","80.24200000","2026-01-28 01:25:13.703505+00","2026-02-08 10:25:13.703505+00"
"23","1","1","Toilet Flush Mechanism Repair","Multiple flush mechanisms broken in 2nd floor restroom","MEDIUM","2026-02-18 10:25:13.703505+00","COMPLETED","resolved","13.06600000","80.24400000","2026-02-08 00:25:13.703505+00","2026-02-19 10:25:13.703505+00"
"24","8","3","Window Sealing Work","Rain water seeping through window frames in Block D","MEDIUM","2026-02-15 10:25:13.703505+00","COMPLETED","resolved","13.06900000","80.24600000","2026-02-04 23:25:13.703505+00","2026-02-16 10:25:13.703505+00"
"25","9","3","Drainage Pipe Unclogging","Storm water drain blocked near parking entrance","HIGH","2026-02-21 10:25:13.703505+00","COMPLETED","resolved","13.07200000","80.24800000","2026-02-11 10:25:13.703505+00","2026-02-22 10:25:13.703505+00"
"26","1","1","Ceiling Water Stain Repair","Water stain expanding on 4th floor ceiling near elevator","MEDIUM","2026-02-25 10:25:13.703505+00","IN_PROGRESS","in_progress","13.00000000","80.20000000","2026-02-17 10:25:13.703505+00","2026-02-19 10:25:13.703505+00"
"27","2","2","Power Socket Replacement Block-A","Multiple sockets sparking in open office area","HIGH","2026-02-23 10:25:13.703505+00","IN_PROGRESS","in_progress","13.00400000","80.20300000","2026-02-17 08:25:13.703505+00","2026-02-19 09:25:13.703505+00"
"28","3","2","Chiller Plant Vibration Issue","Excessive vibration in chiller unit #2","HIGH","2026-02-24 10:25:13.703505+00","IN_PROGRESS","in_progress","13.00800000","80.20600000","2026-02-17 06:25:13.703505+00","2026-02-19 08:25:13.703505+00"
"29","4","3","Stairwell Handrail Loose","Handrail on fire escape stairwell wobbly and unsafe","HIGH","2026-02-22 10:25:13.703505+00","IN_PROGRESS","in_progress","13.01200000","80.20900000","2026-02-17 04:25:13.703505+00","2026-02-19 07:25:13.703505+00"
"30","5","1","WiFi Access Point Replacement","Dead zone in meeting room cluster","MEDIUM","2026-02-26 10:25:13.703505+00","IN_PROGRESS","in_progress","13.01600000","80.21200000","2026-02-17 02:25:13.703505+00","2026-02-19 06:25:13.703505+00"
"31","6","2","Roller Shutter Repair Warehouse","Motorized roller shutter stuck halfway","MEDIUM","2026-02-24 10:25:13.703505+00","IN_PROGRESS","in_progress","13.02000000","80.21500000","2026-02-17 00:25:13.703505+00","2026-02-19 05:25:13.703505+00"
"32","7","3","Painting Touch-up Corridors","Scuff marks and damage on main corridor walls","LOW","2026-02-28 10:25:13.703505+00","IN_PROGRESS","in_progress","13.02400000","80.21800000","2026-02-16 22:25:13.703505+00","2026-02-19 04:25:13.703505+00"
"33","8","3","Water Heater Malfunction","Solar water heater not heating in guest block","MEDIUM","2026-02-25 10:25:13.703505+00","IN_PROGRESS","in_progress","13.02800000","80.22100000","2026-02-16 20:25:13.703505+00","2026-02-19 03:25:13.703505+00"
"34","9","3","Boundary Wall Crack Repair","Structural crack in eastern boundary wall","HIGH","2026-02-23 10:25:13.703505+00","IN_PROGRESS","in_progress","13.03200000","80.22400000","2026-02-16 18:25:13.703505+00","2026-02-19 02:25:13.703505+00"
"35","10","1","Server Room AC Backup Install","Secondary AC unit installation for redundancy","HIGH","2026-02-24 10:25:13.703505+00","IN_PROGRESS","in_progress","13.03600000","80.22700000","2026-02-16 16:25:13.703505+00","2026-02-19 01:25:13.703505+00"
"36","11","2","Forklift Hydraulic Leak","Hydraulic fluid leaking from warehouse forklift","HIGH","2026-02-22 10:25:13.703505+00","IN_PROGRESS","in_progress","13.04000000","80.23000000","2026-02-16 14:25:13.703505+00","2026-02-19 00:25:13.703505+00"
"37","12","3","False Ceiling Repair","Ceiling tiles sagging in accounts department","MEDIUM","2026-02-26 10:25:13.703505+00","IN_PROGRESS","in_progress","13.04400000","80.23300000","2026-02-16 12:25:13.703505+00","2026-02-18 23:25:13.703505+00"
"38","13","2","Transformer Oil Top-up","Power transformer oil level below minimum mark","HIGH","2026-02-23 10:25:13.703505+00","IN_PROGRESS","in_progress","13.04800000","80.23600000","2026-02-16 10:25:13.703505+00","2026-02-18 22:25:13.703505+00"
"39","14","1","Garden Irrigation Pipe Burst","Underground irrigation pipe burst near main lawn","LOW","2026-02-27 10:25:13.703505+00","IN_PROGRESS","in_progress","13.05200000","80.23900000","2026-02-16 08:25:13.703505+00","2026-02-18 21:25:13.703505+00"
"40","15","1","Security Gate Motor Repair","Automatic gate not closing fully","MEDIUM","2026-02-24 10:25:13.703505+00","IN_PROGRESS","in_progress","13.05600000","80.24200000","2026-02-16 06:25:13.703505+00","2026-02-18 20:25:13.703505+00"
"41","16","1","Pantry Microwave Repair","Office pantry microwave not heating","LOW","2026-02-27 10:25:13.703505+00","ASSIGNED","awaiting_solver","13.01000000","80.21000000","2026-02-18 10:25:13.703505+00","2026-02-19 05:25:13.703505+00"
"42","17","2","Loading Dock Light Replacement","Dock area poorly lit, safety concern","MEDIUM","2026-02-25 10:25:13.703505+00","ASSIGNED","awaiting_solver","13.01300000","80.21200000","2026-02-18 08:25:13.703505+00","2026-02-19 04:25:13.703505+00"
"43","18","2","AC Thermostat Calibration","Thermostat reading 3 degrees off in server room","HIGH","2026-02-23 10:25:13.703505+00","ASSIGNED","awaiting_solver","13.01600000","80.21400000","2026-02-18 06:25:13.703505+00","2026-02-19 03:25:13.703505+00"
"44","19","3","Production Line Conveyor Fix","Conveyor belt slipping under load","HIGH","2026-02-22 10:25:13.703505+00","ASSIGNED","awaiting_solver","13.01900000","80.21600000","2026-02-18 04:25:13.703505+00","2026-02-19 02:25:13.703505+00"
"45","20","3","Pest Control — Termite Treatment","Termite damage found in wooden partitions","MEDIUM","2026-02-26 10:25:13.703505+00","ASSIGNED","awaiting_solver","13.02200000","80.21800000","2026-02-18 02:25:13.703505+00","2026-02-19 01:25:13.703505+00"
"46","1","1","Overhead Tank Cleaning","Quarterly water tank cleaning and inspection","MEDIUM","2026-02-28 10:25:13.703505+00","ASSIGNED","awaiting_solver","13.02500000","80.22000000","2026-02-18 00:25:13.703505+00","2026-02-19 00:25:13.703505+00"
"47","2","2","Earthing System Check","Annual electrical earthing resistance test","HIGH","2026-02-24 10:25:13.703505+00","ASSIGNED","awaiting_solver","13.02800000","80.22200000","2026-02-17 22:25:13.703505+00","2026-02-18 23:25:13.703505+00"
"48","3","2","AHU Filter Replacement","Air handling unit filters due for replacement","MEDIUM","2026-02-25 10:25:13.703505+00","ASSIGNED","awaiting_solver","13.03100000","80.22400000","2026-02-17 20:25:13.703505+00","2026-02-18 22:25:13.703505+00"
"49","4","3","Wooden Door Frame Repair","Termite-damaged door frame in storage room","LOW","2026-03-02 10:25:13.703505+00","ASSIGNED","awaiting_solver","13.03400000","80.22600000","2026-02-17 18:25:13.703505+00","2026-02-18 21:25:13.703505+00"
"50","5","1","CCTV Camera Realignment","Cameras in parking area misaligned after storm","MEDIUM","2026-02-24 10:25:13.703505+00","ASSIGNED","awaiting_solver","13.03700000","80.22800000","2026-02-17 16:25:13.703505+00","2026-02-18 20:25:13.703505+00"
"51","6","2","Compressor Room Ventilation","Ventilation fan failed in compressor room","HIGH","2026-02-23 10:25:13.703505+00","ASSIGNED","awaiting_solver","13.04000000","80.23000000","2026-02-17 14:25:13.703505+00","2026-02-18 19:25:13.703505+00"
"52","7","3","External Wall Crack Sealing","Hairline cracks on building exterior wall","LOW","2026-03-04 10:25:13.703505+00","ASSIGNED","awaiting_solver","13.04300000","80.23200000","2026-02-17 12:25:13.703505+00","2026-02-18 18:25:13.703505+00"
"53","8","3","Sewage Pump Failure","Basement sewage pump not activating","HIGH","2026-02-23 10:25:13.703505+00","OPEN","awaiting_solver","13.02000000","80.22000000","2026-02-19 10:25:13.703505+00","2026-02-19 10:25:13.703505+00"
"54","9","3","Parking Barrier Malfunction","Entry barrier arm not lifting for vehicles","MEDIUM","2026-02-25 10:25:13.703505+00","OPEN","awaiting_solver","13.02300000","80.22200000","2026-02-19 09:25:13.703505+00","2026-02-19 09:25:13.703505+00"
"55","10","1","Fiber Optic Cable Damage","Construction crew damaged fiber line to Building E","HIGH","2026-02-22 10:25:13.703505+00","OPEN","awaiting_solver","13.02600000","80.22400000","2026-02-19 08:25:13.703505+00","2026-02-19 08:25:13.703505+00"
"56","11","2","Roof Sheet Replacement","Corroded roofing sheets in warehouse section","MEDIUM","2026-02-28 10:25:13.703505+00","OPEN","awaiting_solver","13.02900000","80.22600000","2026-02-19 07:25:13.703505+00","2026-02-19 07:25:13.703505+00"
"57","12","3","Lift Motor Overheating","Service lift motor temperature alarm triggered","HIGH","2026-02-22 10:25:13.703505+00","OPEN","awaiting_solver","13.03200000","80.22800000","2026-02-19 06:25:13.703505+00","2026-02-19 06:25:13.703505+00"
"58","13","2","Coolant Pipe Leak Lab","Coolant pipe leaking in R&D laboratory","HIGH","2026-02-23 10:25:13.703505+00","OPEN","awaiting_solver","13.03500000","80.23000000","2026-02-19 05:25:13.703505+00","2026-02-19 05:25:13.703505+00"
"59","14","1","Reception Desk Repair","Reception counter laminate peeling off","LOW","2026-03-06 10:25:13.703505+00","OPEN","awaiting_solver","13.03800000","80.23200000","2026-02-19 04:25:13.703505+00","2026-02-19 04:25:13.703505+00"
"60","15","1","Exterior Painting Needed","Building facade paint fading and peeling","LOW","2026-03-12 10:25:13.703505+00","OPEN","awaiting_solver","13.04100000","80.23400000","2026-02-19 03:25:13.703505+00","2026-02-19 03:25:13.703505+00"
"61","16","1","Emergency Generator Test Fail","Monthly generator test showed low voltage output","HIGH","2026-02-22 10:25:13.703505+00","OPEN","awaiting_solver","13.04400000","80.23600000","2026-02-19 02:25:13.703505+00","2026-02-19 02:25:13.703505+00"
"62","17","2","Drainage Overflow Issue","Storm drain overflowing during heavy rain","HIGH","2026-02-23 10:25:13.703505+00","OPEN","awaiting_solver","13.04700000","80.23800000","2026-02-19 01:25:13.703505+00","2026-02-19 01:25:13.703505+00"
"63","18","2","Welding Machine Breakdown","Production welding machine #3 not striking arc","MEDIUM","2026-02-25 10:25:13.703505+00","OPEN","awaiting_solver","13.05000000","80.24000000","2026-02-19 00:25:13.703505+00","2026-02-19 00:25:13.703505+00"
"64","19","3","Chemical Storage Ventilation","Exhaust fan in chemical storage room failed","HIGH","2026-02-22 10:25:13.703505+00","OPEN","awaiting_solver","13.05300000","80.24200000","2026-02-18 23:25:13.703505+00","2026-02-18 23:25:13.703505+00"
"65","20","3","Water Softener Malfunction","Water treatment softener not regenerating","MEDIUM","2026-02-26 10:25:13.703505+00","OPEN","awaiting_solver","13.05600000","80.24400000","2026-02-18 22:25:13.703505+00","2026-02-18 22:25:13.703505+00"
"66","1","1","Cafeteria Sink Clogged","Kitchen sink backing up with grey water","MEDIUM","2026-02-24 10:25:13.703505+00","OPEN","awaiting_solver","13.05900000","80.24600000","2026-02-18 21:25:13.703505+00","2026-02-18 21:25:13.703505+00"
"67","2","2","Distribution Board Humming","DB in Block C making buzzing noise","HIGH","2026-02-22 10:25:13.703505+00","OPEN","awaiting_solver","13.06200000","80.24800000","2026-02-18 20:25:13.703505+00","2026-02-18 20:25:13.703505+00"
"68","3","2","Boiler Pressure Valve Repair","Pressure relief valve replaced on industrial boiler","HIGH","2026-02-24 10:25:13.703505+00","RESOLVED_PENDING_REVIEW","awaiting_review","13.03000000","80.23000000","2026-02-15 10:25:13.703505+00","2026-02-19 10:25:13.703505+00"
"69","4","3","Floor Tile Replacement Lobby","Broken floor tiles replaced in main lobby","MEDIUM","2026-02-26 10:25:13.703505+00","RESOLVED_PENDING_REVIEW","awaiting_review","13.03400000","80.23300000","2026-02-15 07:25:13.703505+00","2026-02-19 08:25:13.703505+00"
"70","5","1","UPS Firmware Update","UPS firmware upgraded to latest version","MEDIUM","2026-02-25 10:25:13.703505+00","RESOLVED_PENDING_REVIEW","awaiting_review","13.03800000","80.23600000","2026-02-15 04:25:13.703505+00","2026-02-19 06:25:13.703505+00"
"71","6","2","Crane Wire Rope Inspection","Overhead crane wire rope inspected and lubricated","HIGH","2026-02-23 10:25:13.703505+00","RESOLVED_PENDING_REVIEW","awaiting_review","13.04200000","80.23900000","2026-02-15 01:25:13.703505+00","2026-02-19 04:25:13.703505+00"
"72","7","3","Wall Waterproofing Treatment","External wall waterproof coating applied","MEDIUM","2026-02-27 10:25:13.703505+00","RESOLVED_PENDING_REVIEW","awaiting_review","13.04600000","80.24200000","2026-02-14 22:25:13.703505+00","2026-02-19 02:25:13.703505+00"
"73","10","1","Switch Stack Configuration","Network switch stack reconfigured after failure","HIGH","2026-02-23 10:25:13.703505+00","RESOLVED_PENDING_REVIEW","awaiting_review","13.05000000","80.24500000","2026-02-14 19:25:13.703505+00","2026-02-19 00:25:13.703505+00"
"74","11","2","Motor Bearing Replacement","Conveyor motor bearings replaced with SKF grade","HIGH","2026-02-24 10:25:13.703505+00","RESOLVED_PENDING_REVIEW","awaiting_review","13.05400000","80.24800000","2026-02-14 16:25:13.703505+00","2026-02-18 22:25:13.703505+00"
"75","12","3","Ceiling Fan Speed Control Fix","Fan regulator replaced in conference room","LOW","2026-02-28 10:25:13.703505+00","RESOLVED_PENDING_REVIEW","awaiting_review","13.05800000","80.25100000","2026-02-14 13:25:13.703505+00","2026-02-18 20:25:13.703505+00"
"76","1","1","Pipe Joint Still Leaking","Previous repair failed, joint leaking again","HIGH","2026-02-23 10:25:13.703505+00","REOPENED","in_progress","13.04000000","80.24000000","2026-02-14 10:25:13.703505+00","2026-02-20 04:25:13.703505+00"
"77","2","2","Electrical Short Recurring","Same circuit breaker tripping after repair","HIGH","2026-02-22 10:25:13.703505+00","REOPENED","in_progress","13.04300000","80.24200000","2026-02-14 08:25:13.703505+00","2026-02-20 03:25:13.703505+00"
"78","8","3","Water Heater Still Cold","Solar heater repair ineffective, water still cold","MEDIUM","2026-02-24 10:25:13.703505+00","REOPENED","in_progress","13.04600000","80.24400000","2026-02-14 06:25:13.703505+00","2026-02-20 02:25:13.703505+00"
"79","9","3","Boundary Wall Crack Widening","Sealed crack reopened after settlement","HIGH","2026-02-23 10:25:13.703505+00","REOPENED","in_progress","13.04900000","80.24600000","2026-02-14 04:25:13.703505+00","2026-02-20 01:25:13.703505+00"
"80","14","1","Irrigation System Leaking Again","Previous pipe repair failed under pressure","MEDIUM","2026-02-25 10:25:13.703505+00","REOPENED","in_progress","13.05200000","80.24800000","2026-02-14 02:25:13.703505+00","2026-02-20 00:25:13.703505+00"
"81","3","2","Chiller Vibration Returned","Vibration damping fix did not hold","HIGH","2026-02-22 10:25:13.703505+00","REOPENED","in_progress","13.05500000","80.25000000","2026-02-14 00:25:13.703505+00","2026-02-19 23:25:13.703505+00"
"82","6","2","Shutter Motor Burned Again","Replacement motor burned out within a week","MEDIUM","2026-02-24 10:25:13.703505+00","REOPENED","in_progress","13.05800000","80.25200000","2026-02-13 22:25:13.703505+00","2026-02-19 22:25:13.703505+00"
"83","11","2","Forklift Leak Persists","Hydraulic seal replacement did not fix leak","HIGH","2026-02-22 10:25:13.703505+00","REOPENED","in_progress","13.06100000","80.25400000","2026-02-13 20:25:13.703505+00","2026-02-19 21:25:13.703505+00"
"84","4","3","Lift Motor Complete Failure","Service lift completely non-functional for 3 days","HIGH","2026-02-21 10:25:13.703505+00","ESCALATED","awaiting_review","13.05000000","80.25000000","2026-02-16 10:25:13.703505+00","2026-02-20 10:25:13.703505+00"
"85","7","3","Chemical Spill Ventilation","Chemical storage ventilation down — safety hazard","HIGH","2026-02-21 10:25:13.703505+00","ESCALATED","awaiting_review","13.05400000","80.25300000","2026-02-16 07:25:13.703505+00","2026-02-20 08:25:13.703505+00"
"86","13","2","Transformer Overheating","Power transformer temperature exceeding safe limits","HIGH","2026-02-21 10:25:13.703505+00","ESCALATED","awaiting_review","13.05800000","80.25600000","2026-02-16 04:25:13.703505+00","2026-02-20 06:25:13.703505+00"
"87","17","2","Drainage Flooding Basement","Basement flooding due to blocked storm drain","HIGH","2026-02-20 10:25:13.703505+00","ESCALATED","awaiting_review","13.06200000","80.25900000","2026-02-16 01:25:13.703505+00","2026-02-20 04:25:13.703505+00"
"88","19","3","Production Line Down","Critical conveyor failure halting production","HIGH","2026-02-20 10:25:13.703505+00","ESCALATED","awaiting_review","13.06600000","80.26200000","2026-02-15 22:25:13.703505+00","2026-02-20 02:25:13.703505+00"
"89","20","3","Fire Suppression System Fault","Sprinkler system pressure test failed","HIGH","2026-02-21 10:25:13.703505+00","ESCALATED","awaiting_review","13.07000000","80.26500000","2026-02-15 19:25:13.703505+00","2026-02-20 00:25:13.703505+00"
"90","18","2","Welding Gas Leak Detected","Gas leak from welding station supply line","HIGH","2026-02-20 10:25:13.703505+00","ESCALATED","awaiting_review","13.07400000","80.26800000","2026-02-15 16:25:13.703505+00","2026-02-19 22:25:13.703505+00"
"91","1","1","Pipe Leakage in Main Halle","Pipe Leakage in Main Halle","MEDIUM","2026-02-25 12:57:46.151358+00","ASSIGNED","awaiting_solver","13.08394400","80.27001400","2026-02-20 12:57:45.3968+00","2026-02-20 12:57:45.3968+00"
"92","1","1","Pipe Leakage in Main Halle","Pipe Leakage in Main Halle","MEDIUM","2026-02-25 12:58:09.382713+00","ASSIGNED","awaiting_solver","13.08394400","80.27001400","2026-02-20 12:58:08.742562+00","2026-02-20 12:58:08.742562+00"
